player_name,player_yob,grade_1,grade_a,grade_2,grade_b,grade_3,grade_c,grade_4,grade_5,recruitability,,SUM
Vladislav IVANOV,1999,64,-1,32,-1,-1,-1,16,-1,2,,5.0978
Yuya NAKANO,1999,-1,-1,64,-1,-1,-1,-1,16,2,,4.4412
Andrea TRAPANI,1999,32,-1,32,-1,32,-1,16,16,2,,4.1533
Digvijay Pratap SINGH,2000,-1,-1,32,-1,16,-1,16,16,2,,2.5639
Timofey SKATOV,2001,16,-1,16,-1,16,-1,16,32,2,,2.2381
Bastien PRESUHN,2000,32,-1,-1,-1,-1,-1,16,-1,2,,1.5958
Arthur HUGOUNENQ,2000,-1,-1,16,-1,-1,-1,16,16,2,,1.3116
Jesper KLOV NILSSON,2000,-1,-1,-1,-1,64,-1,16,16,2,,1.0027
Filip KOLASINSKI,2000,-1,-1,-1,-1,32,-1,16,16,2,,0.6091
Jayman JHATTU,1999,-1,-1,-1,-1,32,-1,32,-1,2,,0.6091
Kabir MANRAI,2000,-1,-1,-1,-1,32,-1,16,16,2,,0.6091
Roman BLOKHIN,1999,-1,-1,-1,-1,16,-1,16,16,2,,0.4123
Ivan DENISOV,2000,-1,-1,-1,-1,16,-1,16,32,2,,0.4123
Francesco LIUCCI,1999,-1,-1,-1,-1,-1,-1,16,16,1,,0.2032
Lukas SAULIS,2000,-1,-1,-1,-1,-1,-1,-1,-1,1,,0.2032
Edgar FOUGERIT,1999,-1,-1,-1,-1,-1,-1,-1,-1,1,,0.2032
Tolga ABDURAHMAN,1999,-1,-1,-1,-1,-1,-1,64,-1,1,,0.2032
Samuel GRMAN,1999,-1,-1,-1,-1,-1,-1,64,32,1,,0.2032
Tiago ALMEIDA,1999,-1,-1,-1,-1,-1,-1,-1,-1,1,,0.2032
Valentin GUYOT,1999,-1,-1,-1,-1,-1,-1,-1,-1,1,,0.2032
Simon Anthony IVANOV,2000,-1,-1,-1,-1,-1,-1,32,-1,1,,0.2032
Jiri JENICEK,1999,-1,-1,-1,-1,-1,-1,-1,-1,1,,0.2032
Cristian Alexandru ANDREESCU,2000,-1,-1,-1,-1,-1,-1,-1,16,1,,0.2032
Uri Hai ASIDON,1999,-1,-1,-1,-1,-1,-1,-1,32,1,,0.2032
Nermin HOXHIQ,2000,-1,-1,-1,-1,-1,-1,-1,-1,1,,0.2032
Tim HEGER,1999,-1,-1,-1,-1,-1,-1,32,-1,1,,0.2032
Markus PERTL,2000,-1,-1,-1,-1,-1,-1,-1,-1,1,,0.2032
Samuel PUSKAR,2000,-1,-1,-1,-1,-1,-1,16,16,1,,0.2032
Lucien FORRESTIER,2000,-1,-1,-1,-1,-1,-1,16,16,1,,0.2032
Damir KHALILOV,2000,-1,-1,-1,-1,-1,-1,-1,-1,1,,0.2032
Mirza CABRO,1999,-1,-1,-1,-1,-1,-1,-1,-1,1,,0.2032
Vuk MARKOVIC,2000,-1,-1,-1,-1,-1,-1,-1,-1,1,,0.2032
Andrey PETUHOV,2000,-1,-1,-1,-1,-1,-1,-1,-1,1,,0.2032
Janis AUSLANDS,2000,-1,-1,-1,-1,-1,-1,-1,-1,1,,0.2032
Herbie MC KENNA MORGAN,2000,-1,-1,-1,-1,-1,-1,-1,-1,1,,0.2032
Alexander STATER,1999,-1,-1,-1,-1,-1,-1,16,-1,1,,0.2032
